ATLAS Class,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,subproperty Of,RO-Crate,KNOT,OpenAIRE Graph,OpenAIRE Application Profile,SKG IF,IRIS
https://schema.org/Dataset,Access Rights (M),How the resource can be accessed. If more access rights are in place; describe how the main resource should be accessed here; and use 'Has part' to describe a subset for which different rights apply.,URI,COAR,1,TRUE,http://schema.org/conditionsOfAccess,,/,/,accessRights,datacite:rights (M),,
https://schema.org/Dataset,License (M),The license under which the research product is available to the public.,URI,schema.gov - Licenze | EU Vocabularies - Licenses,1,TRUE,http://schema.org/license,,http://schema.org/license,http://purl.org/dc/terms/license,instance > license,oaire:licenseCondition (R),,/
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Edited work (M),The cataloguing record of the edited work (from the Open Library). If no records exists; enter 'Last name; name (year). Title'.,URI,[Open Library; VIAF; catalogue],1-n,FALSE,http://purl.org/dc/terms/source,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Reference to the edited text,The URL of a web resource presenting the edited source (e.g. digital manuscript; cataloguing record in other sources than the Open Library).,URI,,1-n,FALSE,http://purl.org/dc/terms/references,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Bibliographic reference of edited text,The bibliographic or archival reference of the edited text.,xsd:String,label associated to the reference above,1,FALSE,http://purl.org/dc/terms/references > rdfs:label,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Specifications on the edited text,Provide additional information on the edited text; e.g. if the source is an original manuscript or an edition.,xsd:String,,0-n,FALSE,atlas:notesOnSource,http://schema.org/description,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Author(s) of the edited text,The author of the edited text. If the edition is 'document-centric' it is possible to indicate the hand(s).,URI,foaf:Agent[VIAF;catalogue],1-n,FALSE,atlas:referencedAuthor,http://schema.org/contributor,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Type of the edited text,The type of the edited text.,URI,atlas:collectedWork ; atlas:collectionOfTexts; atlas:paper; altas:serialDocument; atlas:letter; atlas:diary; atlas:charter; atlas:inscription.,1,FALSE,atlas:referencedWorkType,http://purl.org/dc/terms/type,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Genre,The genre of the edited text. Specify both general terms like 'prose' or 'poetry' and specific values like 'picaresque novel' and 'sonnet'. if applicable.,URI,DYAS Humanities Thesaurus,0-n,FALSE,https://schema.org/genre,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Type of edition,The type of edition. It briefly indicates how the editorial team has worked on the text and what are the main goals of the edition.,URI,atlas:best-manuscriptEdition ; atlas:criticalEdition ; atlas:digitalEdition ; atlas:diplomaticEdition ; atlas:documentaryEdition ; atlas:eclecticEdition ; atlas:monotypicEdition ; atlas:synopticEdition,1-n,FALSE,atlas:editionType,http://purl.org/dc/terms/type,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/DataFile,RDF Vocabularies and ontologies,The ontologies and vocabularies used to organise data.,URI,[LOV; catalogue],1-n,TRUE,http://purl.org/dc/terms/references,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Edited work (M),The cataloguing record of the main edited works (from the Open Library). If no records exists; enter 'Last name; name (year). Title'.,URI,[Open Library; VIAF; catalogue],1-n,FALSE,http://purl.org/dc/terms/source,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Reference to the edited text,The URL of a web resource presenting the main edited sources (e.g. digital manuscript; cataloguing record in other sources than the Open Library).,URI,,0-n,FALSE,http://purl.org/dc/terms/references,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Bibliographic reference of edited text,The bibliographic or archival reference of the edited text.,xsd:String,label associated to the reference above,1,FALSE,http://purl.org/dc/terms/references/rdfs:label,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Specifications on the edited text,Additional information on the edited text; e.g. if the source is an original manuscript or an edition.,xsd:String,,0-n,FALSE,atlas:notesOnSource,http://schema.org/description,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Author(s) of the edited text,The main author(s) of the edited text(s). If the edition is 'document-centric' it is possible to indicate the hand(s).,URI,foaf:Agent[VIAF;catalogue],1-n,FALSE,atlas:referencedAuthor,http://schema.org/contributor,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Type of the edited text,The type of the edited text.,URI,atlas:collectedWork ; atlas:collectionOfTexts; atlas:paper; altas:serialDocument; atlas:letter; atlas:diary; atlas:charter; atlas:inscription.,1-n,FALSE,atlas:referencedWorkType,http://purl.org/dc/terms/type,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Genre of the items,The genre of the edited text. Specify both general terms like 'prose' or 'poetry' and specific values like 'picaresque novel' and 'sonnet'; if applicable.,URI,DYAS Humanities Thesaurus,0-n,FALSE,https://schema.org/genre,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Number of items,The number of items collected and the unit of measurement; e.g. 500 documents; 230.000 tokens.,xsd:String,,0-1,TRUE,https://schema.org/size,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/OntologyDocument,Namespace (M),The namespace used by the terms of the ontology,URL,,1,TRUE,http://purl.org/vocab/vann/preferredNamespaceUri,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/OntologyDocument,Imported or Referenced Models,Ontologies or vocabularies imported or partially reused by the current ontology.,URI,LOV,0-n,TRUE,http://purl.org/dc/terms/references,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/ComputerProgram,Code Repository URL (M),The URL of the repository where the code of the software is stored (e.g. GitHub; Zenodo; FigShare).,URL,,0-1,TRUE,https://schema.org/archivedAt,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/ComputerProgram,Input Format,If the software accepts data in input; add the format of data.,URI,EU Vocabularies - File Type,0-n,TRUE,http://www.ebi.ac.uk/swo/SWO_0000086,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/ComputerProgram,Output Format,If the software produces data; add the format of output data.,URI,EU Vocabularies - File Type,0-n,TRUE,http://www.ebi.ac.uk/swo/SWO_0000087,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/ComputerProgram,Programming language (M),The programming language used to develop the software,URI,,1-n,TRUE,http://www.ebi.ac.uk/swo/SWO_0000741,,,,,,,
https://schema.org/Dataset; http://purl.org/spar/fabio/ComputerProgram,Based on,Software component that is reused/extended in the current software. It can be a research product or the URL of the official page of the software.,URI,atlas:Software; URL,0-n,TRUE,https://schema.org/isBasedOn,,,,,,,
