Research product type,subclass of,Properties,description,expected Type,range Restriction,cardinality,stable,ATLAS,subproperty Of,RO-Crate,KNOT,OpenAIRE Graph,OpenAIRE Application Profile,SKG IF,IRIS
https://w3id.org/dh-atlas/DigitalScholarlyEdition,https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Original document(s) or witness(es) available at (M),The URL of a web resource presenting as digital facsimile the document(s) or witness(es) on which the edition is based.,URL,,1-n,FALSE,http://id.loc.gov/ontologies/bibframe/associatedResource,http://purl.org/dc/terms/type,,,,,,
https://w3id.org/dh-atlas/DigitalScholarlyEdition,https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Author of the edited text,URI of the cataloguing record of the edited text’s author.,URI,foaf:Agent[VIAF;catalogue],1-n,FALSE,https://w3id.org/dh-atlas/referencedAuthor,,,,,,,
https://w3id.org/dh-atlas/DigitalScholarlyEdition,https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Edition type(s) (M),The type(s) of edition. This indicates the editorial approach taken by the team and the main objectives of the edition.,URI,Edition Type Vocabulary,1,FALSE,https://w3id.org/dh-atlas/editionType,http://purl.org/dc/terms/type,,,,,,
https://w3id.org/dh-atlas/DigitalScholarlyEdition,https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Genre(s),The genre(s) of the edited text.,URI,CWRC Genre Ontology,0-n,FALSE,https://schema.org/genre,,,,,,,
https://w3id.org/dh-atlas/DigitalScholarlyEdition,https://schema.org/Dataset; http://purl.org/spar/fabio/MetadataDocument,Facsimile(s) available at,"The URL to the documents’ or witnesses’ facsimile(s) provided within the catalogued edition, if applicable.",URL,,1-n,FALSE,http://id.loc.gov/ontologies/bibframe/accompaniedBy,,,,,,,
https://w3id.org/dh-atlas/LinkedOpenData,https://schema.org/Dataset; https://rdfs.org/ns/void#Dataset,RDF Vocabularies and ontologies,URIs of the ontologies and vocabularies employed in data modelling.,URI,[LOV; catalogue],1-n,TRUE,http://rdfs.org/ns/void#vocabulary,,,,,,,
https://w3id.org/dh-atlas/TextCollection,https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Collected works,"URI of the cataloguing records of the works included in the text collection, if applicable.",URI,"[VIAF; Open Library, catalogue]",1-n,FALSE,http://id.loc.gov/ontologies/bibframe/expressionOf,,,,,,,
https://w3id.org/dh-atlas/TextCollection,https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Geographical Coverage,The place(s) which are the focus of the text collection’s content,URI,GeoNames,0-n,FALSE,https://schema.org/spatialCoverage,https://schema.org/description,,,,,,
https://w3id.org/dh-atlas/TextCollection,https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Temporal Coverage,The period that the text collection’s content applies to.,URI,Wikidata,1,FALSE,https://schema.org/temporalCoverage,https://schema.org/contributor,,,,,,
https://w3id.org/dh-atlas/TextCollection,https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Author(s) of the texts,The main author(s) of the edited text(s). If the edition is 'document-centric' it is possible to indicate the hand(s).,URI,foaf:Agent[VIAF;catalogue],1-n,FALSE,https://w3id.org/dh-atlas/referencedAuthor,http://purl.org/dc/terms/type,,,,,,
https://w3id.org/dh-atlas/TextCollection,https://schema.org/Dataset; http://purl.org/spar/fabio/Anthology,Edition type(s) (M),URI of the cataloguing record(s) of the author(s) of the texts included in the text collection.,URI,Edition Type Vocabulary,1-n,FALSE,https://w3id.org/dh-atlas/editionType,,,,,,,
